order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,payment_sequential,payment_type,payment_installments,payment_value,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,day_of_week,month
61fd7198f99b6dfea49f9a7cd0fe2789,d2c5dc31f86d6780700991aca2cd59cf,delivered,2018-01-13 11:52:09,2018-01-13 12:09:13,2018-01-17 16:16:45,2018-01-30 21:35:10,2018-02-15 00:00:00,1,credit_card,1,147.15,e670025d21280a9cfff41b26531c04bf,36010,juiz de fora,MG,1,5411e9269501a870cabf632f05655131,3d871de0142ce09b7081e2b9d1733cb1,2018-01-23 12:09:13,129.0,18.15,papelaria,57.0,396.0,3.0,6550.0,38.0,30.0,28.0,Saturday,2018-01
e55253f870ba00d40f6f01475ceecd3c,4673e1ebd04cf92efca5b5068c6b4b2d,delivered,2018-03-15 23:52:07,2018-03-17 02:55:22,2018-03-23 20:43:57,2018-03-28 00:49:49,2018-04-02 00:00:00,1,boleto,1,124.66,cc3fa56799bf052b6f877995f7cc592e,8533,ferraz de vasconcelos,SP,1,e1da6ab77f4859eb17950e5df1c0f815,dd7ddc04e1b6c2c614352b383efe2d36,2018-03-27 02:55:22,49.9,12.43,pet_shop,56.0,724.0,2.0,7050.0,50.0,21.0,21.0,Thursday,2018-03
846b7ad2c4d3f41185c508376fd86c3f,8a6d9c909753f171131d459c4d86776d,delivered,2018-03-22 20:40:12,2018-03-22 20:56:19,2018-03-29 00:42:12,2018-04-09 20:36:40,2018-04-13 00:00:00,1,credit_card,6,160.14,4b745e3500d14a175ba05f0dd9138609,36844,tombos,MG,1,1f30aacc69904c0d0bf8d05cb2abef72,4a3ca9315b744ce9f8e9374361493884,2018-03-28 20:56:19,135.0,25.14,cama_mesa_banho,58.0,293.0,1.0,1850.0,40.0,10.0,30.0,Thursday,2018-03
1be51feefcd481bee3118900e6777057,0fce8fa7269758a9711ebafed7c8bf65,delivered,2017-05-17 21:06:56,2017-05-17 21:21:58,2017-05-19 09:51:44,2017-05-29 12:16:50,2017-06-08 00:00:00,4,voucher,1,7.71,a378caa847f8b44d00411d34449359d1,12227,sao jose dos campos,SP,1,f0f25035bed5ba1a75a678c0f9f09190,1554a68530182680ad5c8b042c3ab563,2017-05-23 21:21:58,62.9,14.17,moveis_decoracao,58.0,733.0,1.0,1300.0,34.0,6.0,26.0,Wednesday,2017-05
b2f4d61781e3120462270cc41f9693eb,496a959e5d8dd7bea89fad0ef7dabe36,delivered,2018-05-24 13:02:05,2018-05-24 13:13:26,2018-05-24 14:16:00,2018-05-29 17:27:11,2018-06-11 00:00:00,1,credit_card,3,35.77,d7f5ebda8c8c4b79f6f89a586a823982,3463,sao paulo,SP,1,1613b819ab5dae53aead2dbb4ebdb378,16090f2ca825584b5a147ab24aa30c86,2018-05-28 13:13:26,27.9,7.87,automotivo,60.0,982.0,2.0,50.0,17.0,10.0,15.0,Thursday,2018-05
ae0be4e1cb2ae75b372e2f055876ff07,d1694b32c845946992a1c03bb8914201,delivered,2017-03-27 18:30:34,2017-03-29 02:10:40,2017-03-29 12:00:05,2017-05-05 14:28:03,2017-05-02 00:00:00,1,boleto,1,70.33,c2b1595e01a2b5dc449b531dcddc591b,56395,lagoa grande,PE,1,cb43c6e1c451902b51f4f4ff512302df,582d4f8675b945722eda7c0cb61ba4c7,2017-04-04 02:10:40,45.49,24.84,eletronicos,21.0,286.0,3.0,293.0,16.0,7.0,11.0,Monday,2017-03
d133e52fb7806aa87cec35e47a1d06ce,7d6272716530fbc9fc863f9239c87467,delivered,2018-05-07 22:54:09,2018-05-07 23:12:32,2018-05-10 13:53:00,2018-05-11 23:47:04,2018-05-17 00:00:00,1,credit_card,1,117.08,f3f5e4512e909ece8dd0e64eef84e895,74483,goiania,GO,1,20e5b387f4e760842c0aeaaca8daf4fa,0ec28cec4046a4a199b6de9b4c891d97,2018-05-13 23:12:32,49.9,8.64,beleza_saude,58.0,1054.0,3.0,400.0,31.0,20.0,20.0,Monday,2018-05
1cb61aaa63135f552055cf1932adf3be,09f166677f364961abf0cfe78df50b03,delivered,2018-04-25 21:06:51,2018-04-25 21:30:10,2018-04-26 13:22:00,2018-05-05 16:22:35,2018-05-30 00:00:00,1,credit_card,4,293.66,f84e31805a5c477596610d415106bf2a,97650,itaqui,RS,1,4b5df063d69ffafb87c279672ecb4191,1f50f920176fa81dab994f9023523100,2018-05-02 21:30:10,53.9,21.68,bebes,54.0,343.0,2.0,3550.0,37.0,22.0,40.0,Wednesday,2018-04
c765302c18a92bcea0bc5c976bae0174,f63b99a7b32694f5b1f0a4171478cd21,delivered,2018-06-26 14:03:15,2018-06-29 02:53:13,2018-06-29 14:47:00,2018-07-03 15:58:49,2018-07-13 00:00:00,1,boleto,1,22.36,e0836a97eaae86ac4adc26fbb334a527,13026,campinas,SP,1,67bd616e1ba0d3d3e8545f3113b0140d,e9779976487b77c6d4ac45f75ec7afe9,2018-07-05 02:53:13,14.49,7.87,beleza_saude,57.0,3153.0,1.0,300.0,18.0,18.0,18.0,Tuesday,2018-06
81e54776f3bdf237512b1ceb5337a066,8d6592798ee09cde08208f51e7876083,delivered,2017-03-24 01:10:14,2017-03-24 01:23:39,2017-03-24 14:44:43,2017-03-31 11:03:12,2017-04-17 00:00:00,1,credit_card,1,29.51,cff81dae0e5355c0eb407d3be054d2ca,15040,sao jose do rio preto,SP,1,5a6e53c3b4e8684b13388d6aa4afdf12,7299e27ed73d2ad986de7f7c77d919fa,2017-03-30 01:23:39,14.99,14.52,utilidades_domesticas,45.0,176.0,2.0,200.0,19.0,9.0,12.0,Friday,2017-03
